isinCd,ytm,coupon_rate,after_tax_yield_approx,calculation_status
KR6120112E42,5.936,4.388,5.260248,CALCULATED
KR6123272EB7,4.407,4.327,3.7406420000000002,CALCULATED
KR6123892E42,5.724,6.9,4.6614,CALCULATED
KR6123892F25,5.761,5.619,4.8956740000000005,CALCULATED
KR6138041E24,5.857,5.8,4.9638,CALCULATED
KR6138041F49,5.009,4.7,4.285200000000001,CALCULATED
KR6138931D93,5.672,5.7,4.7942,CALCULATED
KR6138931E27,5.077,4.97,4.31162,CALCULATED
KR6139131D65,5.768,5.8,4.8748,CALCULATED
KR6139482G18,3.887,3.602,3.332292,CALCULATED
KR6140481F83,130.531,7.8,,OUTLIER_YTM
KR6140481G25,97.623,8.1,,OUTLIER_YTM
KR6140483F24,249.639,6.7,,OUTLIER_YTM
KR6150351D99,4.311,7.402,3.171092,CALCULATED
KR6150351E64,5.513,6.585,4.49891,CALCULATED
KR6150351E98,5.36,6.331,4.385026,CALCULATED
KR6150351F48,5.874,5.625,5.00775,CALCULATED
KR6150351F89,5.774,5.519,4.924074,CALCULATED
KR6150351G21,6.181,6.402,5.195092,CALCULATED
KR6155722G30,4.54,3.913,3.937398,CALCULATED
KR6157181C34,4.439,4.35,3.7691,CALCULATED
KR6166261FB5,3.748,3.6,3.1936,CALCULATED
KR6169371E60,6.667,6.65,5.6429,CALCULATED
KR6169376F64,5.701,5.39,4.87094,CALCULATED
KR6169379E54,-12.433,5.06,,OUTLIER_YTM
KR6175331E41,5.186,5.2,4.3852,CALCULATED
KR6175331E90,4.786,4.65,4.0699,CALCULATED
KR6175331EC6,5.001,4.95,4.238700000000001,CALCULATED
KR6181651DA5,7.289,7.3,6.1648,CALCULATED
KR6181652C26,3.498,3.907,2.896322,CALCULATED
KR6192521C55,5.253,5.2,4.4522,CALCULATED
KR6206352E97,8.498,6.19,7.544739999999999,CALCULATED
KR6214341F37,4.54,4.172,3.897512,CALCULATED
KR6214341F60,3.883,3.803,3.297338,CALCULATED
KR6214342EA0,3.9,4.671,3.180666,CALCULATED
KR6214342G35,5.148,4.53,4.45038,CALCULATED
KR6214343F43,4.787,4.184,4.142664,CALCULATED
KR6214343G34,5.049,4.53,4.351380000000001,CALCULATED
KR6214344F67,4.017,3.781,3.4347260000000004,CALCULATED
KR6214346EB9,3.662,4.711,2.9365059999999996,CALCULATED
KR6214348E49,4.429,5.788,3.5376480000000003,CALCULATED
KR621434AEB8,3.849,4.595,3.14137,CALCULATED
KR6251272E33,4.522,5.006,3.7510760000000003,CALCULATED
KR6290291F86,5.036,5.47,4.193619999999999,CALCULATED
KR6294871F60,4.694,3.647,4.132362,CALCULATED
KR6310101F41,3.731,4.114,3.097444,CALCULATED
KR6310102F32,7.627,4.333,6.959718,CALCULATED
KR6310102FC4,4.238,4.227,3.5870420000000003,CALCULATED
KR6310106F61,4.708,4.119,4.0736740000000005,CALCULATED
KR6310107F60,4.823,4.252,4.168192,CALCULATED
KR6310108F36,4.772,4.572,4.067912,CALCULATED
KR6316141995,4.084,2.13,3.7559799999999997,CALCULATED
KR6316141C27,4.133,4.1,3.5016,CALCULATED
KR6316141D26,4.666,4.65,3.9499000000000004,CALCULATED
KR6316141E25,4.512,4.49,3.8205399999999994,CALCULATED
KR6329183E19,3.781,4.599,3.072754,CALCULATED
KR6331593E27,4.942,4.936,4.181856,CALCULATED
KR6336262F33,5.197,5.068,4.4165280000000005,CALCULATED
KR6336262F82,5.248,5.005,4.4772300000000005,CALCULATED
KR6348371EB6,0.0,1.0,-0.154,CALCULATED
KR6361612E21,5.326,4.766,4.592035999999999,CALCULATED
KR6361612FA4,4.658,4.6,3.9496,CALCULATED
KR6404712DA6,5.001,5.834,4.102564,CALCULATED
KR6404712E36,5.05,4.73,4.32158,CALCULATED
KR6427082F20,4.593,3.745,4.0162700000000005,CALCULATED
KR6473521DC3,4.185,4.67,3.46582,CALCULATED
KRC0355P2694,2.844,3.29,2.3373399999999998,CALCULATED
KRC035AP26C3,3.046,3.58,2.49468,CALCULATED
KRC035FP2732,3.373,3.26,2.87096,CALCULATED
