isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR1035027WC3,,0.1036221765913758,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502G693,,0.0459999999999993,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502G6C4,,-0.544,저민감,,STABLE,STABLE,2,2,안정성 중심
KR103502G768,,-0.3639999999999999,중간,,STABLE,NEUTRAL,1,2,안정성 중심
KR103502G990,,0.1079999999999996,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502G9C8,,0.0166221765913756,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GA34,,0.3259999999999996,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GA67,,0.078308692676249,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GA91,,0.1550000000000002,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GAC2,,0.024696783025325,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GB33,,0.3609999999999997,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GB66,,0.0123832991101986,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GBC0,,0.1343325119780973,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GC99,,0.306,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GCC8,,0.1284323066392882,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GD31,,0.3369999999999997,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GD64,,0.138115811088296,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GD98,,0.3449999999999997,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GDC6,,0.058665708418891,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GE30,,0.3449999999999997,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
KR103502GE63,,0.0393492128678989,고민감,,NEUTRAL,YIELD,-1,2,수익률 중심
