basDt,srtnCd,isinCd,itmsNm,mrktCtg,xpYrCnt,itmsCtg,clprPrc,clprVs,clprBnfRt,mkpPrc,mkpBnfRt,hiprPrc,hiprBnfRt,loprPrc,loprBnfRt,trqu,trPrc
20260807,B002551F3,KR6002551F31,케이비손해보험3(후),일반채권, , ,9565.5,-34.5,4.913,9550,4.936,9650,4.789,9550,4.936,1240000,1184714
20260807,B003342F2,KR6003342F25,SK에코플랜트182-2,일반채권, , ,10028,1,3.293,10028,3.293,10028,3.293,10028,3.293,16600000,16646480
20260807,B003342G2,KR6003342G24,SK에코플랜트185-1,일반채권, , ,9990,0,4.365,9990,4.365,9990,4.365,9990,4.365,40000,39960
20260807,B003343F2,KR6003343F24,SK에코플랜트182-3,일반채권, , ,10040,0,4.368,10040,4.368,10040,4.368,10040,4.368,10000,10040
20260807,B003343G7,KR6003343G72,SK에코플랜트186-3,일반채권, , ,10073,10,4.824,10073,4.824,10073,4.824,10070,4.839,157720000,158863360
20260807,B003412B9,KR6003412B99,쌍용씨앤이316-2,일반채권, , ,10006.1,-15.9,6.247,10000,6.812,10006.1,6.247,10000,6.812,600000,600305
20260807,B003492E2,KR6003492E24,대한항공106-2,일반채권, , ,10110,10,4.069,10110,4.069,10110,4.069,10110,4.069,65600000,66321600
20260807,B003492E6,KR6003492E65,대한항공107-2,일반채권, , ,10050,50.2,3.946,10050,3.946,10050,3.946,10050,3.946,10000000,10050000
20260807,B003492EA,KR6003492EA8,대한항공108-2,일반채권, , ,9800,-155,4.868,9700,5.212,9800,4.868,9700,5.212,3210000,3144800
20260807,B003492G6,KR6003492G63,대한항공118-2,일반채권, , ,10090,0,4.644,10090,4.644,10090,4.644,10090,4.644,55710000,56211390
20260807,B003493E2,KR6003493E23,대한항공106-3,일반채권, , ,10130,10,4.636,10130,4.636,10130,4.636,10130,4.636,20000000,20260000
20260807,B003493F9,KR6003493F97,대한항공112-3,일반채권, , ,9600,-50,4.551,9650,4.455,9650,4.455,9599.5,4.552,142010000,136331563
20260807,B003691D3,KR6003691D32,코리안리재보험신종자본증권 5,일반채권, , ,10071,0,5.472,10050,5.487,10119,5.438,10050,5.487,20430000,20668266
20260807,B0040529A,KR60040529A4,에이치디현대오일뱅크121-2,일반채권, , ,9993.2,0,2.916,9975,3.908,9993.2,2.916,9970,4.182,10330000,10302205
20260807,B005283F9,KR6005283F96,부산은행2025-09이1A-26,일반채권, , ,10013.9,0,3.737,10013.9,3.737,10013.9,3.737,10013.9,3.737,2000000,2002780
20260807,B005831G6,KR6005831G68,DB손보신종자본증권 4,일반채권, , ,10081,1,5.302,10081,5.302,10081,5.302,10081,5.302,20000,20162
20260807,B006221E2,KR6006221E25,제주은행 조건부(상)6(신종-영구-5콜)(사),일반채권, , ,10050,0,5.683,10050,5.683,10050,5.683,10050,5.683,9200000,9246000
20260807,B008272F6,KR6008272F69,산은캐피탈768-2,일반채권, , ,9872.1,0,4.016,9872.1,4.016,9872.1,4.016,9872.1,4.016,51020000,50367453
20260807,B009201F2,KR6009201F22,무림페이퍼106,일반채권, , ,9912.7,0,5.7,9912.7,5.7,9912.7,5.7,9912.7,5.7,50000,49563
20260807,B011331FB,KR6011331FB3,유니켐41,일반채권, , ,7400,250,20.37,7399,20.376,7400,20.37,7399,20.376,4830000,3573939
20260807,B011791G2,KR6011791G23,SKC146-1,일반채권, , ,9998,-1.9,4.268,9999.9,4.255,9999.9,4.255,9998,4.268,2020000,2019598
20260807,B023532E1,KR6023532E16,롯데쇼핑98-2,일반채권, , ,10020,0,4.335,10000,4.79,10020,4.335,10000,4.79,5220000,5226680
20260807,B023764E9,KR6023764E98,한국캐피탈535-4,일반채권, , ,10053,0,5.37,10053,5.37,10053,5.37,10053,5.37,100000,100530
20260807,B023764F2,KR6023764F22,한국캐피탈542-1,일반채권, , ,10080,0,7.329,10070,10.148,10080,7.329,10070,10.148,4960000,4998720
20260807,B023765F3,KR6023765F39,한국캐피탈544-1,일반채권, , ,10055.7,5.7,3.621,10055.7,3.621,10055.7,3.621,10040,4.868,30000,30150
20260807,B023766F4,KR6023766F46,한국캐피탈546-3,일반채권, , ,9977.6,17.6,4.514,9977.6,4.514,9977.6,4.514,9977.6,4.514,5640000,5627364
20260807,B02376AG7,KR602376AG79,한국캐피탈571-5,일반채권, , ,10011,2,5.244,10011,5.244,10011,5.244,10011,5.244,700000000,700770000
20260807,B023785F1,KR6023785F19,신한캐피탈507-5,일반채권, , ,9903.6,0,4.04,9903.6,4.04,9903.6,4.04,9903.6,4.04,2250000,2228310
20260807,B025102E3,KR6025102E37,포스코이앤씨63-2,일반채권, , ,10020.1,0,5.739,10020.1,5.739,10020.1,5.739,10020.1,5.739,27800000,27855878
20260807,B025901F3,KR6025901F39,동화기업23,일반채권, , ,9900,0,7.499,9901,7.481,10000,5.761,9900,7.499,215720000,213689100
20260807,B025901G6,KR6025901G61,동화기업25,일반채권, , ,9786,-28,8.304,9786,8.304,9786,8.304,9786,8.304,19820000,19395852
20260807,B029272D9,KR6029272D91,SK실트론49-2,일반채권, , ,10094.9,0,3.917,10095,3.904,10095,3.904,10094.9,3.917,2650000,2675165
